Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2023/03/09 12:34:29.2461,1.910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.33,35.76,46.4,40.2,2023/03/09,01:47:04,152.0915139,-23.5067797,19.153,12,
2023/03/09 12:34:29.2660,1.930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.28,35.31,47,40.08,2023/03/09,01:47:05,152.0915147,-23.5067831,19.101,12,
2023/03/09 12:34:29.2961,1.960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,35.4,46.9,40.09,2023/03/09,01:47:06,152.0915145,-23.5067855,18.726,12,
2023/03/09 12:34:29.3167,1.980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.33,35.42,46.6,40.09,2023/03/09,01:47:07,152.091515,-23.5067876,18.307,12,
2023/03/09 12:34:29.3469,2.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.31,35.09,46.9,40.02,2023/03/09,01:47:08,152.0915144,-23.5067876,18.4,12,
2023/03/09 12:34:29.3768,2.040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.3,34.59,46.5,39.97,2023/03/09,01:47:09,152.0915129,-23.5067896,18.634,12,
2023/03/09 12:34:29.3968,2.060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.3,34.22,46.6,39.92,2023/03/09,01:47:10,152.0915134,-23.5067885,18.798,12,
2023/03/09 12:34:29.4266,2.090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.31,34.29,46.9,39.91,2023/03/09,01:47:11,152.0915153,-23.5067879,18.588,12,
2023/03/09 12:34:29.4466,2.110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,34.66,47.1,39.97,2023/03/09,01:47:12,152.0915165,-23.506788,18.267,12,
2023/03/09 12:34:29.4768,2.140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.29,34.54,46.8,39.98,2023/03/09,01:47:13,152.0915165,-23.5067878,18.323,12,
